user_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
31669242,Age of Empires II HD Edition,LIMBO,Audiosurf,Super Meat Boy,Don't Starve,Trine 2,Orcs Must Die! 2,Just Cause 2,Mass Effect 2,Orcs Must Die!,Mortal Kombat X,Star Wars Knights of the Old Republic,Besiege,Mass Effect,This War of Mine,RAGE,Kingdoms of Amalur Reckoning,Half-Life 2,Torchlight,Game Dev Tycoon
27116257,Day of Defeat Source,Day of Defeat,Star Trek Online,Call of Duty Modern Warfare 2,Mount & Blade Warband,Half-Life 2 Lost Coast,Fallout New Vegas,DC Universe Online,Counter-Strike Condition Zero,Age of Empires III Complete Collection,Call of Duty Black Ops - Multiplayer,Call of Duty Modern Warfare 2 - Multiplayer,RIFT,Half-Life 2 Deathmatch,Call of Duty 4 Modern Warfare,Call of Duty Black Ops,Age of Empires II HD Edition,Synergy,ArcheAge,La Tale
152419713,Call of Duty Modern Warfare 3,Grand Theft Auto IV,Hitman Absolution,Call of Duty Modern Warfare 3 - Multiplayer,Mafia II,Aliens vs. Predator,FreeStyle2 Street Basketball,Sniper Elite V2,GRID 2,Max Payne 3,Unturned,Arma 3,Fistful of Frags,Aftermath,Happy Wars,PAYDAY 2,Quake Live,Sleeping Dogs,Alien Swarm,Batman Arkham Origins
210905793,LEGO MARVEL Super Heroes,NARUTO SHIPPUDEN Ultimate Ninja STORM 3 Full B...,Dota 2,South Park The Stick of Truth,Plague Inc Evolved,Need for Speed Hot Pursuit,The Stanley Parable,Assassin's Creed Brotherhood,Tomb Raider,Counter-Strike Global Offensive,The Walking Dead Season Two,Resident Evil 6 / Biohazard 6,Tales from the Borderlands,Burnout Paradise The Ultimate Box,Alan Wake,Sonic & All-Stars Racing Transformed,Don't Starve Together Beta,Batman Arkham Asylum GOTY Edition,Assassin's Creed II,Lego Harry Potter
160288335,BioShock Infinite,Saints Row IV,Blacklight Retribution,Assassin's Creed IV Black Flag,Saints Row The Third,Pro Evolution Soccer 2014,The Witcher 2 Assassins of Kings Enhanced Edition,Call of Duty Ghosts,BLOCKADE 3D,LEGO The Lord of the Rings,Block N Load,FINAL FANTASY VIII,Surgeon Simulator,The Expendabros,LEGO The Hobbit,Unturned,Spec Ops The Line,Just Cause 2 Multiplayer Mod,The Witcher 3 Wild Hunt,FINAL FANTASY XIII
46055854,Duke Nukem Forever,Tomb Raider,Call of Duty Modern Warfare 3,Aliens vs. Predator,"Warhammer 40,000 Dawn of War II",Call of Duty Ghosts - Multiplayer,Risen 2 - Dark Waters,Might & Magic Heroes VI,Grand Theft Auto IV,Call of Duty Modern Warfare 3 - Multiplayer,Just Cause 2,Portal 2,The Lord of the Rings War in the North,Project CARS,GRID 2,Sniper Ghost Warrior,Call of Duty Ghosts,Hitman Absolution,BioShock Infinite,Wolfenstein The New Order
171067153,War Thunder,Loadout,Euro Truck Simulator 2,Left 4 Dead 2,Chivalry Medieval Warfare,Path of Exile,Grand Theft Auto V,Rocket League,Borderlands 2,Neverwinter,Portal 2,Dying Light,PlanetSide 2,Arma 3,Arma 2 Operation Arrowhead,AdVenture Capitalist,Dead Island Epidemic,Sniper Elite V2,Rust,Don't Starve Together Beta
35701646,Portal,Garry's Mod,Tropico 4,Portal 2,Terraria,Crysis 2 Maximum Edition,Hitman Absolution,Warframe,Amnesia The Dark Descent,Half-Life 2 Episode One,Half-Life 2,Torchlight II,Half-Life 2 Episode Two,Metro 2033,Metro Last Light,Dead Island,Assassin's Creed II,Dishonored,Bastion,XCOM Enemy Unknown
117022366,Call of Duty World at War,Call of Duty Black Ops II - Multiplayer,APB Reloaded,Call of Duty Black Ops,Call of Duty Modern Warfare 2,No More Room in Hell,Call of Duty Black Ops II - Zombies,Call of Duty Black Ops II,Dirty Bomb,Survarium,Heroes & Generals,Total War ROME II - Emperor Edition,Warface,Dying Light,Just Cause 2 Multiplayer Mod,R.U.S.E,Blacklight Retribution,Call of Duty Advanced Warfare,Insurgency,theHunter
131785763,No More Room in Hell,Warframe,Trove,Unturned,Tom Clancy's Ghost Recon Phantoms - NA,Garry's Mod,Counter-Strike Global Offensive,Left 4 Dead 2,War Thunder,Counter-Strike Nexon Zombies,Chivalry Medieval Warfare,Happy Wars,7 Days to Die,Aftermath,GunZ 2 The Second Duel,SMITE,Rocket League,Neverwinter,HAWKEN,Terraria
42771635,Orcs Must Die!,7 Days to Die,GunZ 2 The Second Duel,Starbound,Magicka,Sanctum 2,Audiosurf,Hammerwatch,Source Filmmaker,Orcs Must Die! 2,Awesomenauts,Magic The Gathering  Duels of the Planeswalker...,Bastion,Half-Life 2,Age of Empires III Complete Collection,The Secret World,RIFT,SpaceChem,Torchlight,Space Pirates and Zombies
223064225,Tactical Intervention,Robocraft,Dirty Bomb,Heroes & Generals,Unturned,No More Room in Hell,Goat Simulator,War Thunder,Garry's Mod,Blacklight Retribution,Team Fortress 2,theHunter,Warface,Fistful of Frags,The Elder Scrolls V Skyrim,Red Crucible Firestorm,Besiege,WARMODE,BeamNG.drive,Trove
42657809,Mafia II,Wolfenstein The New Order,Star Wars Knights of the Old Republic,The Elder Scrolls III Morrowind,Left 4 Dead,Age of Empires II HD Edition,DmC Devil May Cry,Saints Row 2,Mass Effect 2,Age of Mythology Extended Edition,Batman Arkham City GOTY,Mass Effect,Euro Truck Simulator 2,Sid Meier's Civilization III Complete,Tomb Raider,Thief,Grand Theft Auto IV,The Darkness II,The Incredible Adventures of Van Helsing,Metro 2033
27099151,Day of Defeat Source,Half-Life 2 Deathmatch,Alien Swarm,Half-Life 2 Lost Coast,Counter-Strike Source,Synergy,Zombie Panic Source,Counter-Strike Condition Zero,Age of Chivalry,Insurgency Modern Infantry Combat,Half-Life,Terraria,Borderlands,Call of Duty Modern Warfare 2,7 Days to Die,Left 4 Dead,Day of Defeat,PAYDAY 2,Counter-Strike,Half-Life 2 Episode Two
95325409,BioShock Infinite,HuniePop,Portal 2,FreeStyle2 Street Basketball,South Park The Stick of Truth,Worms Reloaded,Saints Row The Third,Magicka,Bastion,Portal,Torchlight II,Grand Theft Auto V,Saints Row 2,Garry's Mod,NARUTO SHIPPUDEN Ultimate Ninja STORM 3 Full B...,Alan Wake,Spore,Serious Sam 3 BFE,Dead Island,Ace of Spades
42061089,Saints Row The Third,South Park The Stick of Truth,Far Cry 3,Dead Island,Dying Light,Middle-earth Shadow of Mordor,The Witcher Enhanced Edition,Dead Island Epidemic,Spore,Darksiders,Magicka,Darksiders II,The Forest,Neverwinter,Garry's Mod,DARK SOULS II Scholar of the First Sin,Fallout New Vegas,ARK Survival Evolved,Starbound,Path of Exile
2110581,PAYDAY 2,Day of Defeat Source,Left 4 Dead 2,Terraria,Left 4 Dead,Killing Floor,Team Fortress 2,Unturned,Half-Life 2 Deathmatch,Portal,Counter-Strike Global Offensive,Battlefield Bad Company 2,Alien Swarm,Counter-Strike Source,Deus Ex Human Revolution,Call of Duty Modern Warfare 2 - Multiplayer,Mount & Blade Warband,Portal 2,Garry's Mod,Call of Duty Modern Warfare 2
136495026,Grand Theft Auto V,Batman Arkham Origins,The Walking Dead Season Two,Fable - The Lost Chapters,The Walking Dead,Batman Arkham Asylum GOTY Edition,The Witcher Enhanced Edition,METAL GEAR SOLID V THE PHANTOM PAIN,Left 4 Dead 2,Far Cry 3,Sniper Elite V2,This War of Mine,Tomb Raider,Metro 2033,DARK SOULS II Scholar of the First Sin,Mortal Kombat X,Garry's Mod,Sid Meier's Civilization V,Crysis,Euro Truck Simulator 2
106170243,Counter-Strike Nexon Zombies,Alien Swarm,SMITE,Mortal Kombat Komplete Edition,No More Room in Hell,Quake Live,Elsword,Cry of Fear,DC Universe Online,Toribash,Happy Wars,Tom Clancy's Ghost Recon Phantoms - NA,Awesomenauts,Infinite Crisis,Batman Arkham Origins,Brawlhalla,Guns of Icarus Online,Unturned,GunZ 2 The Second Duel,Warframe
26762388,Infestation Survivor Stories,Magicka,Left 4 Dead 2,The Forest,DayZ,Orcs Must Die!,Insurgency Modern Infantry Combat,Dark Souls Prepare to Die Edition,Half-Life 2,This War of Mine,Risk of Rain,Torchlight II,Borderlands The Pre-Sequel,The Ship,State of Decay,Guns of Icarus Online,Serious Sam 3 BFE,ORION Prelude,Assassin's Creed III,Contagion
79073449,Call of Duty Modern Warfare 2,Dying Light,Total War SHOGUN 2,Age of Empires II HD Edition,Star Wars - Battlefront II,Banished,Star Wars The Force Unleashed Ultimate Sith Ed...,Valkyria Chronicles,Cities Skylines,Wolfenstein The New Order,Garry's Mod,"Warhammer 40,000 Dawn of War II",Far Cry 3,Anno 2070,PAYDAY 2,Middle-earth Shadow of Mordor,"Warhammer 40,000 Dawn of War II - Chaos Rising",Fallout New Vegas,STAR WARS Knights of the Old Republic II The S...,Sid Meier's Civilization Beyond Earth
30912860,Half-Life 2,The Stanley Parable,Spore,Octodad Dadliest Catch,Alice Madness Returns,Deus Ex Human Revolution - Director's Cut,The Banner Saga,South Park The Stick of Truth,LIMBO,Castle Crashers,The Talos Principle,Half-Life 2 Episode One,Brothers - A Tale of Two Sons,BioShock Infinite,Bastion,Super Meat Boy,Dungeon of the Endless,Pixel Piracy,Recettear An Item Shop's Tale,Gunpoint
58830050,Call of Duty Ghosts,Call of Duty Modern Warfare 3,Call of Duty Modern Warfare 3 - Multiplayer,Grand Theft Auto IV,Saints Row The Third,Call of Duty Ghosts - Multiplayer,Unturned,Call of Duty Advanced Warfare,Call of Duty Black Ops,Sniper Ghost Warrior,Assassin's Creed IV Black Flag,Tomb Raider,Call of Duty Black Ops - Multiplayer,Hitman Absolution,Mafia II,Call of Duty Black Ops III,Call of Duty Black Ops II,Homefront,Call of Duty Advanced Warfare - Multiplayer,Tom Clancy's Ghost Recon Phantoms - EU
165101762,War Thunder,No More Room in Hell,Dirty Bomb,Chivalry Medieval Warfare,Loadout,PlanetSide 2,Infestation Survivor Stories,The Elder Scrolls V Skyrim,Heroes & Generals,H1Z1,Arma 2,PAYDAY The Heist,Unturned,Garry's Mod,Warface,Team Fortress 2,Counter-Strike Global Offensive,Arma 3,DayZ,Euro Truck Simulator 2
30440303,South Park The Stick of Truth,Grand Theft Auto IV,BioShock Infinite,Mafia II,Sniper Elite V2,Plague Inc Evolved,Call of Duty Modern Warfare 3,Hitman Absolution,Rocket League,Burnout Paradise The Ultimate Box,Max Payne 3,Dead Island Epidemic,Saints Row The Third,Grand Theft Auto Episodes from Liberty City,Mirror's Edge,Saints Row IV,Tomb Raider,Quake Live,Dead Island,Mortal Kombat Komplete Edition
58931437,Half-Life 2,Portal,Half-Life 2 Episode Two,Half-Life 2 Episode One,Half-Life,Fallout New Vegas,The Witcher Enhanced Edition,Scribblenauts Unlimited,Portal 2,Plants vs. Zombies Game of the Year,XCOM Enemy Unknown,BioShock,Trine,LEGO Worlds,Spec Ops The Line,Half-Life Source,Saints Row The Third,Garry's Mod,Dishonored,Torchlight
154174570,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
78341587,Need for Speed Hot Pursuit,Half-Life 2,Half-Life 2 Episode One,Half-Life 2 Episode Two,The Stanley Parable,BioShock Infinite,Half-Life,The Witcher 2 Assassins of Kings Enhanced Edition,Tomb Raider,Besiege,Grand Theft Auto V,Audiosurf,Half-Life Source,The Witcher 3 Wild Hunt,Crysis 2 Maximum Edition,Portal,Cities Skylines,Burnout Paradise The Ultimate Box,Surgeon Simulator,Portal 2
561758,Serious Sam HD The Second Encounter,Tomb Raider,BioShock Infinite,"Warhammer 40,000 Dawn of War II",Aliens vs. Predator,Grand Theft Auto IV,Day of Defeat Source,Sniper Elite V2,Insurgency Modern Infantry Combat,Batman Arkham City GOTY,Crysis 2 Maximum Edition,Saints Row The Third,Resident Evil 6 / Biohazard 6,Assassin's Creed II,Call of Duty Modern Warfare 3,NBA 2K14,Call of Duty 4 Modern Warfare,The Witcher 2 Assassins of Kings Enhanced Edition,Deus Ex Human Revolution,Sleeping Dogs
257603009,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
55761025,Hitman Absolution,Tomb Raider,Grand Theft Auto IV,Call of Duty Modern Warfare 2 - Multiplayer,Call of Duty Modern Warfare 3 - Multiplayer,METAL GEAR SOLID V THE PHANTOM PAIN,Call of Duty Modern Warfare 3,Total War SHOGUN 2,Unturned,The Elder Scrolls V Skyrim,Crysis 2 Maximum Edition,Assassin's Creed II,The Witcher 2 Assassins of Kings Enhanced Edition,Sid Meier's Civilization V,Total War ROME II - Emperor Edition,Grand Theft Auto V,Far Cry 3,Arma 2 Operation Arrowhead,Team Fortress 2,Call of Duty World at War
58907890,Left 4 Dead 2,Portal,XCOM Enemy Unknown,Portal 2,Fallout New Vegas,Garry's Mod,The Elder Scrolls V Skyrim,Terraria,Grand Theft Auto V,Left 4 Dead,"Warhammer 40,000 Dawn of War II",Sid Meier's Civilization V,Borderlands 2,Far Cry 3,Half-Life 2,Team Fortress 2,Counter-Strike Source,PAYDAY 2,DayZ,Torchlight II
111142411,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
182229935,PAYDAY 2,Left 4 Dead 2,Terraria,Heroes & Generals,Clicker Heroes,APB Reloaded,Robocraft,Tom Clancy's Ghost Recon Phantoms - NA,Space Engineers,theHunter,Team Fortress 2,Don't Starve,Warframe,Realm of the Mad God,Counter-Strike Source,Insurgency,Mount & Blade Warband,War Thunder,Garry's Mod,No More Room in Hell
26729643,Dying Light,ARK Survival Evolved,Space Engineers,The Witcher Enhanced Edition,Don't Starve Together Beta,Cities Skylines,Defiance,This War of Mine,Warhammer End Times - Vermintide,Evolve,"Warhammer 40,000 Dawn of War  Soulstorm",Age of Empires II HD Edition,APB Reloaded,Crusader Kings II,DARK SOULS II Scholar of the First Sin,Arma 2 Operation Arrowhead Beta (Obsolete),Star Wars - Battlefront II,"Warhammer 40,000 Dawn of War  Dark Crusade",PlanetSide 2,Mortal Kombat X
50275189,Team Fortress 2,Garry's Mod,Sid Meier's Civilization V,PAYDAY 2,Left 4 Dead 2,The Elder Scrolls V Skyrim,Warframe,Borderlands 2,War Thunder,Portal 2,Fallout New Vegas,Terraria,Robocraft,Counter-Strike Source,DC Universe Online,Counter-Strike Global Offensive,AdVenture Capitalist,Rust,Alien Swarm,Portal
190073388,Call of Duty Modern Warfare 2,Day of Defeat Source,Call of Duty Modern Warfare 2 - Multiplayer,Age of Empires II HD Edition,Cities Skylines,DC Universe Online,Call of Duty Black Ops - Multiplayer,Mount & Blade Warband,Football Manager 2015,RollerCoaster Tycoon 3 Platinum!,Fallout New Vegas,Rome Total War,Star Trek Online,Day of Defeat,Counter-Strike Source,Portal,Half-Life 2 Deathmatch,Call of Duty Black Ops,Age of Empires III Complete Collection,Star Wars Knights of the Old Republic
202298227,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
72627862,Team Fortress 2,PAYDAY 2,Call of Duty Modern Warfare 2,Call of Duty Modern Warfare 2 - Multiplayer,Portal 2,Left 4 Dead 2,Borderlands 2,Counter-Strike Global Offensive,Sid Meier's Civilization V,Total War ROME II - Emperor Edition,Portal,Call of Duty Black Ops II - Multiplayer,The Elder Scrolls V Skyrim,Day of Defeat Source,DC Universe Online,Alien Swarm,Grand Theft Auto V,Mount & Blade Warband,Robocraft,Garry's Mod
194305157,Counter-Strike Global Offensive,Left 4 Dead 2,Unturned,Rocket League,The Elder Scrolls V Skyrim,PAYDAY 2,Clicker Heroes,Sid Meier's Civilization V,DayZ,Warframe,Trove,Garry's Mod,Borderlands 2,Heroes & Generals,Grand Theft Auto IV,Tomb Raider,Grand Theft Auto V,Team Fortress 2,Terraria,No More Room in Hell
50229934,"Warhammer 40,000 Dawn of War II",Portal 2,Killing Floor,War Thunder,Empire Total War,Left 4 Dead,Battlefield Bad Company 2,Dark Souls Prepare to Die Edition,Batman Arkham Asylum GOTY Edition,Euro Truck Simulator 2,Chivalry Medieval Warfare,Portal,Hitman Absolution,Fallout 4,Sid Meier's Civilization Beyond Earth,Game Dev Tycoon,Batman Arkham City GOTY,Arma 2 Operation Arrowhead,Rust,Rising Storm/Red Orchestra 2 Multiplayer
105503045,Don't Starve Together Beta,Age of Empires II HD Edition,Napoleon Total War,Crusader Kings II,Company of Heroes 2,Middle-earth Shadow of Mordor,Tropico 4,Far Cry 3,Mortal Kombat X,Age of Empires III Complete Collection,HAWKEN,Total War SHOGUN 2,Company of Heroes,Company of Heroes (New Steam Version),The Witcher Enhanced Edition,Tropico 5,LEGO MARVEL Super Heroes,Sins of a Solar Empire Rebellion,"Papers, Please",Banished
95898619,Unturned,Left 4 Dead 2,Counter-Strike Global Offensive,Dead Island,Clicker Heroes,PAYDAY 2,Killing Floor,Warframe,Saints Row The Third,Terraria,Tom Clancy's Ghost Recon Phantoms - EU,Grand Theft Auto IV,Euro Truck Simulator 2,Counter-Strike Nexon Zombies,Garry's Mod,Rocket League,Heroes & Generals,Left 4 Dead,The Elder Scrolls V Skyrim,DayZ
75463760,Napoleon Total War,AdVenture Capitalist,Sniper Elite V2,Tropico 4,Total War ATTILA,Banished,Omerta - City of Gangsters,Cities Skylines,Prison Architect,War Thunder,Company of Heroes 2,Total War ROME II - Emperor Edition,Project Zomboid,Sid Meier's Civilization Beyond Earth,Tropico 5,Game Dev Tycoon,NBA 2K15,Crusader Kings II,ARK Survival Evolved,Spintires
274410276,Dota 2,Team Fortress 2,Counter-Strike Source,Garry's Mod,Counter-Strike Global Offensive,Warframe,The Elder Scrolls V Skyrim,Sid Meier's Civilization V,Counter-Strike,Empire Total War,FreeStyle2 Street Basketball,Free to Play,War Thunder,Spiral Knights,DiggerOnline,Archeblade,Football Manager 2013,Stronghold Kingdoms,Borderlands 2 RU,Grand Theft Auto V
51085779,Robocraft,Age of Empires III Complete Collection,The Forest,PlanetSide 2,Chivalry Medieval Warfare,Tropico 4,Starbound,Dishonored,Defiance,RIFT,Don't Starve,War of the Roses,Insurgency,War Thunder,Infestation Survivor Stories,Supreme Commander 2,Mad Max,HAWKEN,The Sims(TM) 3,Heroes & Generals
155082814,Dota 2,Team Fortress 2,Counter-Strike Source,Garry's Mod,Counter-Strike Global Offensive,Warframe,The Elder Scrolls V Skyrim,Sid Meier's Civilization V,Counter-Strike,Empire Total War,FreeStyle2 Street Basketball,Free to Play,War Thunder,Spiral Knights,DiggerOnline,Football Manager 2013,Archeblade,Stronghold Kingdoms,Borderlands 2 RU,Grand Theft Auto V
190708114,Robocraft,Don't Starve,World of Guns Gun Disassembly,Don't Starve Together Beta,War Thunder,Trove,theHunter,Tom Clancy's Ghost Recon Phantoms - NA,Insurgency,PlanetSide 2,Realm of the Mad God,HAWKEN,POSTAL 2,Heroes & Generals,Space Engineers,BLOCKADE 3D,Castle Crashers,Goat Simulator,Star Wars - Battlefront II,Tactical Intervention
62486194,Empire Total War,Fallout 4,Call of Duty 4 Modern Warfare,Call of Duty Black Ops II - Multiplayer,Call of Duty Modern Warfare 2,Trine 2,Rust,Call of Duty Black Ops II,BioShock Infinite,Call of Duty Black Ops II - Zombies,Borderlands,Rome Total War,Portal 2,Dungeon Defenders,Call of Duty Black Ops - Multiplayer,Cities Skylines,Call of Duty Black Ops,Insurgency,Mafia II,Total War ROME II - Emperor Edition
158495272,Dota 2,Team Fortress 2,Unturned,Garry's Mod,Warframe,The Elder Scrolls V Skyrim,Counter-Strike Global Offensive,Sid Meier's Civilization V,Counter-Strike Source,Saints Row The Third,Trove,DC Universe Online,Tom Clancy's Ghost Recon Phantoms - EU,Call of Duty Modern Warfare 3 - Multiplayer,PAYDAY The Heist,Left 4 Dead 2,Grand Theft Auto IV,Counter-Strike,Clicker Heroes,Dirty Bomb
13565651,Unturned,Saints Row The Third,DRAGON BALL XENOVERSE,Day of Defeat Source,Age of Empires II HD Edition,Borderlands,Counter-Strike Condition Zero,Mirror's Edge,Crysis 2 Maximum Edition,Call of Duty 4 Modern Warfare,Magicka,South Park The Stick of Truth,DC Universe Online,Call of Duty Black Ops II - Zombies,Burnout Paradise The Ultimate Box,LIMBO,Injustice Gods Among Us Ultimate Edition,PAYDAY The Heist,Evolve,Dungeon Defenders
